20220519,25.8,30,23.5,0,64
20220520,26.9,30.9,24.5,0,76
20220521,26.9,30.7,24.6,0,78
20220522,25,27.2,24.1,0.6,83
20220523,24,24.8,23.1,11.2,90
20220524,24.4,25,23.7,10.3,93
20220525,25.3,27.4,23.8,1.3,91
20220526,26.7,28.6,25.1,2.4,88
20220527,27.4,28.5,26.1,24.7,89
20220528,28.7,31.3,27.1,0.05,81
20220529,29.1,32.2,27.8,0.05,79
20220530,29.2,32.7,27.4,0.05,78
20220531,28.2,30.7,27.4,0.1,82
20220601,28.7,30.9,27,1.2,81
20220602,28.8,31,26,11.9,80
20220603,29.2,31.2,28,1.6,81
20220604,29.6,32,28.6,0.05,78
20220605,29.6,32,28.7,0.05,78
20220606,28.9,30.6,27.6,2.5,83
20220607,27.4,29.6,24.6,33.8,86
20220608,25.8,28,24.7,66,93
20220609,26.3,27.9,25,28.7,90
20220610,26.1,27.3,25,25.8,92
20220611,26.8,29.1,25.3,47.5,89
20220612,28.4,30.3,25.6,2.6,84
20220613,28.9,30.6,28.1,0,80
20220614,27.4,29.3,24.8,42.8,87
20220615,26.7,30.5,24,11,88
20220616,27.6,30.5,24.3,2.6,84
20220617,29,31,28,1,79
20220618,28.8,29.8,27.5,1.3,81
20220619,29.3,30.9,28,0.1,81
20220620,29.2,30.4,27.6,2.8,80
20220621,29.4,30.5,28.6,0.05,80
20220622,29.5,31.8,28.1,0,78
20220623,30,33.8,27.9,0,74
20220624,30,33.4,27.8,0,73
20220625,29.6,32.8,27.7,0,74
20220626,30,33.9,26.8,0.3,74
20220627,30.1,33.4,27.8,0.1,73
20220628,30.6,34.4,28.2,0,71
20220629,30.2,33.9,28.1,0.7,78
20220630,27.5,29.6,25.9,64.9,89
20220701,27.2,29.7,25.4,63,85
20220702,26.9,28.4,25.6,72.4,89
20220703,29,30.3,28.2,0,82
20220704,28.8,29.4,27.9,0.4,83
20220705,29,29.7,28.4,0.2,82
20220706,28.8,30.3,28,0.5,81
20220707,28.7,31.6,27.2,13.1,86
20220708,30,33.8,27.7,0.05,79
20220709,29.9,33.3,28.6,0.05,81
20220710,30.5,34.2,28.6,0.05,77
20220711,30.9,35.1,28.5,0,73
20220712,31.1,35.2,28.6,0,72
20220713,31,35.2,28.4,0,71
20220714,30.4,33.1,28.5,0,75
20220715,30.4,34.3,28.6,0.2,77
20220716,30.5,33.3,28.8,1.5,77
20220717,30.5,32.6,28.8,1.2,76
20220718,30.4,32.7,28.5,2.7,78
20220719,30.8,33.7,29.1,0.05,75
20220720,30.8,34.2,29.2,0.6,76
20220721,30.9,35.2,28.1,0.3,74
20220722,31.2,35.6,28.2,0,72
20220723,31.4,34.9,29.2,0,74
20220724,32,36.1,29.5,0,72
20220725,32,35.8,29.9,0,74
20220726,31.2,35.2,29.1,0,71
20220727,31,34.2,29,0,69
20220728,31.2,35.3,28.8,0,73
20220729,31.7,35.3,29.7,0,74
20220730,29.5,31.2,26.5,2.4,81
20220731,30.8,34,28.3,0,76
20220801,31.4,35.7,29.1,0,69
20220802,31.1,35.2,28,0.2,70
20220803,28.2,30.8,25.6,34.9,82
20220804,27.1,28.4,25.9,14.9,86
20220805,26.1,28.6,24.5,165.5,94
